payer,receiver,amount
259304,1111661,25600.5
228977,203408,26548.38
105285,1484951,39951.54
234890,882406,34024.78
260340,1263822,26691.34
339289,1410271,29848.95
85761,128257,28761.77
203237,444998,67426.51
212359,265980,32531.56
65330,196567,41607.26
62320,32324,34931.98
168279,924867,36712.05
162589,1191443,29910.53
21430,1437986,35846.98
51148,304610,76903
259581,952503,25318.92
349533,646878,75611.86
109257,992598,64381.17
193655,251904,57296.97
89759,28985,32278.98
167814,185496,30359.25
12259,1353726,55032.99
509,1199242,32150.31
246357,1050096,26520.55
194809,342762,23046.63
249696,1372264,24164.18
1316701,121883,60663.77
49408,1190931,30499.88
248572,1289639,39302.9
765666,996164,31703.73
190349,1394092,55619.46
233112,431299,81202.63
166381,33763,29648.36
340646,177795,30978.1
533661,489595,68745.19
170254,1386457,34439.02
141168,1263984,30515.14
537223,192549,106105.84
83103,1117582,58579.62
88392,1325077,76248.09
577073,1069397,31629.69
202742,484778,33713.92
61251,1006094,25107.89
66679,278807,61859.09
81786,1182871,29631.58
675086,1050976,30822.48
380985,12532,35286.24
283251,1101926,50475.4
156306,1261978,27351.31
174946,1077280,80298.84
143014,948010,54949.17
144501,1172284,29294.3
144501,1145643,57437.17
210199,72925,30141.9
209941,588871,28943.04
144827,946075,71113.75
309563,1061975,20864.7
18814,1305787,46887.97
149310,1073410,45015.3
235412,1140122,76218.2
247600,1080817,29841.87
245085,1069397,62232.25
151417,1031111,85200.01
47156,23838,34501.28
197771,1091558,30786.18
129510,713973,32986.56
23047,988051,23220.29
161278,47002,34328.97
149242,101375,27281.25
177038,60743,84635.18
150443,1177609,28335.05
172845,1211834,109279.96
14442,107862,75066.45
156178,260344,30833.53
136670,945841,27185.37
3825,619526,32978.11
45363,95114,53932.99
23344,1252957,94517.87
233833,890964,93293.16
15701,1285598,82163.11
26378,646878,59832.7
543203,1073983,33166.13
785178,1400191,27106.73
45626,1185616,85046.67
58001,181054,71436.08
224583,202999,92948.31
113270,114833,120337.74
241143,1101823,33527.61
5846,178609,43381.83
151417,97117,34234.7
752307,93236,71205.33
189783,1090807,32747.1
191682,967003,29950.27
231108,462730,78944.03
159996,1236866,27169.74
193763,957355,31803.47
140819,1259725,24575.27
261355,83635,24039.12
224583,125389,66034.92
527424,175635,27088.08
29645,109852,31179.22
81919,107701,33358.14
164207,146430,38177.81
150109,222700,29932.5
268722,263689,27415.86
